 A(*, *)
 matr[           6 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           21 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           22 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           23 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           24 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           25 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           26 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           27 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           28 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           29 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           30 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           31 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           32 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           33 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           34 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           35 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           36 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           37 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           38 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           39 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           6 ,           40 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,            1 ] =                (205.14483667026812,0.0000000000000000)
 matr[           7 ,            2 ] =                (205.14483667026812,0.0000000000000000)
 matr[           7 ,            3 ] =               (-410.28967334053624,0.0000000000000000)
 matr[           7 ,            4 ] =                (410.28967334053624,0.0000000000000000)
 matr[           7 ,            5 ] =                (205.14483667026812,0.0000000000000000)
 matr[           7 ,            6 ] =                (205.14483667026812,0.0000000000000000)
 matr[           7 ,            7 ] =               (-1489282.4341462378,0.0000000000000000)
 matr[           7 ,            8 ] =                (410.28967334053624,0.0000000000000000)
 matr[           7 ,            9 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           10 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           11 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           12 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           13 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           14 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           15 ] =                (5.0000000000000000,0.0000000000000000)
 matr[           7 ,           16 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           17 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           18 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           19 ] =                (0.0000000000000000,0.0000000000000000)
 matr[           7 ,           20 ] =                (0.0000000000000000,0.0000000000000000)
